Gene WormBase ID	of CLASH identified piRNA target sites
WBGene00012559	5
WBGene00012560	1
WBGene00012561	3
WBGene00012562	4
WBGene00012564	8
WBGene00012565	8
WBGene00012566	5
WBGene00012567	5
WBGene00012570	0
WBGene00012571	0
WBGene00012573	0
WBGene00012574	0
WBGene00012575	0
WBGene00012576	8
WBGene00012577	9
WBGene00012578	6
WBGene00012579	0
WBGene00012580	0
WBGene00012581	0
WBGene00012582	0
WBGene00012583	0
WBGene00012584	24
WBGene00012585	0
WBGene00012586	0
WBGene00012587	0
WBGene00012589	0
WBGene00012590	0
WBGene00012591	0
WBGene00012592	0
WBGene00012593	0
WBGene00012594	0
WBGene00012595	7
WBGene00012596	0
WBGene00012597	0
WBGene00012598	0
WBGene00012600	5
WBGene00012602	6
WBGene00012603	0
WBGene00012604	0
WBGene00012605	5
WBGene00012606	2
WBGene00012607	0
WBGene00012608	2
WBGene00012609	1
WBGene00012610	0
WBGene00012612	0
WBGene00012614	0
WBGene00012615	2
WBGene00012616	0
WBGene00012617	0
WBGene00012618	1
WBGene00012621	0
WBGene00012622	0
WBGene00012624	28
WBGene00012625	0
WBGene00012626	0
WBGene00012627	0
WBGene00012628	1
WBGene00012629	0
WBGene00012630	0
WBGene00012631	0
WBGene00012632	2
WBGene00012633	0
WBGene00012634	0
WBGene00012635	0
WBGene00012636	0
WBGene00012637	9
WBGene00012638	9
WBGene00012639	0
WBGene00012640	16
WBGene00012641	19
WBGene00012642	0
WBGene00012643	1
WBGene00012644	13
WBGene00012645	2
WBGene00012646	4
WBGene00012647	0
WBGene00012648	0
WBGene00012649	0
WBGene00012650	14
WBGene00012651	6
WBGene00012652	5
WBGene00012654	1
WBGene00012655	1
WBGene00012656	0
WBGene00012657	0
WBGene00012658	2
WBGene00012659	8
WBGene00012660	9
WBGene00012661	0
WBGene00012662	1
WBGene00012663	3
WBGene00012664	4
WBGene00012665	4
WBGene00012666	14
WBGene00012668	0
WBGene00012669	0
WBGene00012670	0
WBGene00012671	1
WBGene00012672	6
WBGene00012673	4
WBGene00012674	1
WBGene00012675	11
WBGene00012676	5
WBGene00012678	2
WBGene00012679	8
WBGene00012681	0
WBGene00012682	0
WBGene00012683	0
WBGene00012684	1
WBGene00012686	0
WBGene00012688	0
WBGene00012689	11
WBGene00012691	0
WBGene00012692	11
WBGene00012693	8
WBGene00012694	9
WBGene00012695	38
WBGene00012696	2
WBGene00012697	7
WBGene00012698	1
WBGene00012699	0
WBGene00012700	3
WBGene00012701	14
WBGene00012702	3
WBGene00012703	1
WBGene00012704	0
WBGene00012705	0
WBGene00012707	1
WBGene00012708	0
WBGene00012709	0
WBGene00012710	8
WBGene00012711	4
WBGene00012712	4
WBGene00012713	7
WBGene00012714	29
WBGene00012715	22
WBGene00012716	6
WBGene00012717	16
WBGene00012718	10
WBGene00012719	18
WBGene00012720	0
WBGene00012721	0
WBGene00012722	1
WBGene00012723	0
WBGene00012724	0
WBGene00012725	0
WBGene00012726	1
WBGene00012727	0
WBGene00012728	0
WBGene00012729	0
WBGene00012730	14
WBGene00012731	4
WBGene00012732	8
WBGene00012733	3
WBGene00012734	8
WBGene00012735	13
WBGene00012738	5
WBGene00012739	1
WBGene00012740	16
WBGene00012741	1
WBGene00012742	0
WBGene00012743	0
WBGene00012744	4
WBGene00012747	0
WBGene00012748	0
WBGene00012750	1
WBGene00012753	0
WBGene00012754	0
WBGene00012755	2
WBGene00012756	4
WBGene00012757	0
WBGene00012758	7
WBGene00012759	3
WBGene00012760	0
WBGene00012761	2
WBGene00012762	22
WBGene00012763	0
WBGene00012764	1
WBGene00012765	19
WBGene00012766	4
WBGene00012767	11
WBGene00012768	29
WBGene00012769	27
WBGene00012770	0
WBGene00012771	0
WBGene00012772	0
WBGene00012773	0
WBGene00012775	0
WBGene00012776	0
WBGene00012777	0
WBGene00012778	0
WBGene00012779	0
WBGene00012780	0
WBGene00012781	11
WBGene00012782	1
WBGene00012783	0
WBGene00012784	1
WBGene00012785	2
WBGene00012786	4
WBGene00012787	0
WBGene00012788	0
WBGene00012789	2
WBGene00012790	5
WBGene00012791	0
WBGene00012792	0
WBGene00012794	0
WBGene00012795	4
WBGene00012796	1
WBGene00012798	2
WBGene00012799	0
WBGene00012802	10
WBGene00012803	7
WBGene00012804	8
WBGene00012806	12
WBGene00012807	2
WBGene00012808	0
WBGene00012809	8
WBGene00012810	0
WBGene00012811	0
WBGene00012812	1
WBGene00012813	8
WBGene00012814	0
WBGene00012815	0
WBGene00012816	0
WBGene00012818	0
WBGene00012819	0
WBGene00012820	0
WBGene00012821	0
WBGene00012822	0
WBGene00012823	0
WBGene00012824	0
WBGene00012825	2
WBGene00012826	1
WBGene00012827	4
WBGene00012828	7
WBGene00012829	8
WBGene00012830	3
WBGene00012831	3
WBGene00012832	0
WBGene00012833	0
WBGene00012834	1
WBGene00012835	3
WBGene00012836	0
WBGene00012837	0
WBGene00012838	0
WBGene00012839	0
WBGene00012840	0
WBGene00012841	2
WBGene00012844	2
WBGene00012845	7
WBGene00012846	0
WBGene00012847	0
WBGene00012848	3
WBGene00012849	0
WBGene00012850	0
WBGene00012851	1
WBGene00012852	0
WBGene00012853	1
WBGene00012854	13
WBGene00012855	2
WBGene00012856	0
WBGene00012857	0
WBGene00012858	5
WBGene00012859	5
WBGene00012860	15
WBGene00012861	0
WBGene00012862	0
WBGene00012863	0
WBGene00012864	1
WBGene00012866	7
WBGene00012867	17
WBGene00012868	8
WBGene00012869	0
WBGene00012871	5
WBGene00012872	1
WBGene00012873	1
WBGene00012874	0
WBGene00012875	3
WBGene00012877	4
WBGene00012878	1
WBGene00012879	18
WBGene00012880	0
WBGene00012883	0
WBGene00012885	13
WBGene00012886	0
WBGene00012887	13
WBGene00012888	12
WBGene00012889	2
WBGene00012890	16
WBGene00012891	0
WBGene00012892	0
WBGene00012893	1
WBGene00012894	13
WBGene00012895	5
WBGene00012896	80
WBGene00012897	22
WBGene00012899	10
WBGene00012900	3
WBGene00012901	0
WBGene00012903	3
WBGene00012904	14
WBGene00012905	1
WBGene00012906	0
WBGene00012907	19
WBGene00012908	22
WBGene00012909	1
WBGene00012910	1
WBGene00012911	3
WBGene00012912	1
WBGene00012913	0
WBGene00012914	1
WBGene00012915	0
WBGene00012916	0
WBGene00012917	1
WBGene00012919	0
WBGene00012920	5
WBGene00012921	0
WBGene00012922	4
WBGene00012923	2
WBGene00012925	1
WBGene00012926	5
WBGene00012927	3
WBGene00012928	6
WBGene00012929	24
WBGene00012930	8
WBGene00012931	2
WBGene00012932	0
WBGene00012933	10
WBGene00012934	8
WBGene00012935	8
WBGene00012936	23
WBGene00012937	3
WBGene00012938	0
WBGene00012939	0
WBGene00012940	0
WBGene00012941	1
WBGene00012942	0
WBGene00012943	8
WBGene00012945	0
WBGene00012946	2
WBGene00012947	0
WBGene00012948	2
WBGene00012950	6
WBGene00012951	7
WBGene00012952	5
WBGene00012953	1
WBGene00012955	0
WBGene00012958	2
WBGene00012959	0
WBGene00012960	0
WBGene00012961	0
WBGene00012962	0
WBGene00012964	9
WBGene00012965	0
WBGene00012966	7
WBGene00012967	2
WBGene00012968	0
WBGene00012969	4
WBGene00012970	1
WBGene00012972	30
WBGene00012973	13
WBGene00012976	8
WBGene00012977	13
WBGene00012978	9
WBGene00012979	4
WBGene00012980	1
WBGene00012981	61
WBGene00012982	16
WBGene00012983	12
WBGene00012984	0
WBGene00012985	0
WBGene00012987	1
WBGene00012988	2
WBGene00012989	0
WBGene00012990	38
WBGene00012992	3
WBGene00012993	36
WBGene00012994	9
WBGene00012995	10
WBGene00012996	4
WBGene00012997	3
WBGene00012998	6
WBGene00012999	21
WBGene00013000	3
WBGene00013001	7
WBGene00013002	2
WBGene00013004	4
WBGene00013006	9
WBGene00013007	0
WBGene00013008	1
WBGene00013009	2
WBGene00013011	6
WBGene00013013	0
WBGene00013014	9
WBGene00013015	5
WBGene00013017	2
WBGene00013018	0
WBGene00013019	5
WBGene00013020	0
WBGene00013021	9
WBGene00013023	0
WBGene00013024	6
WBGene00013025	14
WBGene00013026	5
WBGene00013027	0
WBGene00013028	0
WBGene00013029	11
WBGene00013030	7
WBGene00013033	4
WBGene00013034	15
WBGene00013035	0
WBGene00013036	24
WBGene00013037	0
WBGene00013038	21
WBGene00013039	12
WBGene00013040	5
WBGene00013041	1
WBGene00013042	1
WBGene00013043	0
WBGene00013044	0
WBGene00013045	0
WBGene00013046	0
WBGene00013047	2
WBGene00013048	0
WBGene00013049	0
WBGene00013050	0
WBGene00013052	2
WBGene00013053	2
WBGene00013054	0
WBGene00013055	0
WBGene00013058	0
WBGene00013060	0
WBGene00013061	0
WBGene00013062	1
WBGene00013063	0
WBGene00013064	0
WBGene00013066	0
WBGene00013067	0
WBGene00013068	0
WBGene00013069	7
WBGene00013070	1
WBGene00013071	0
WBGene00013072	0
WBGene00013073	1
WBGene00013074	0
WBGene00013075	15
WBGene00013076	0
WBGene00013077	0
WBGene00013078	1
WBGene00013079	0
WBGene00013080	1
WBGene00013081	1
WBGene00013082	2
WBGene00013083	0
WBGene00013085	1
WBGene00013086	1
WBGene00013087	0
WBGene00013088	0
WBGene00013089	0
WBGene00013090	0
WBGene00013091	0
WBGene00013093	3
WBGene00013094	6
WBGene00013095	15
WBGene00013096	13
WBGene00013098	0
WBGene00013100	0
WBGene00013101	0
WBGene00013102	0
WBGene00013103	0
WBGene00013104	0
WBGene00013105	0
WBGene00013106	63
WBGene00013107	2
WBGene00013109	2
WBGene00013111	0
WBGene00013116	2
WBGene00013117	0
WBGene00013118	1
WBGene00013119	0
WBGene00013120	0
WBGene00013121	1
WBGene00013122	0
WBGene00013123	3
WBGene00013124	0
WBGene00013125	0
WBGene00013126	0
WBGene00013127	15
WBGene00013128	9
WBGene00013129	7
WBGene00013130	0
WBGene00013131	8
WBGene00013132	11
WBGene00013135	1
WBGene00013136	0
WBGene00013137	6
WBGene00013138	8
WBGene00013139	22
WBGene00013140	3
WBGene00013141	1
WBGene00013142	1
WBGene00013143	22
WBGene00013144	13
WBGene00013145	0
WBGene00013146	0
WBGene00013147	0
WBGene00013148	0
WBGene00013149	3
WBGene00013150	11
WBGene00013151	4
WBGene00013152	0
WBGene00013154	2
WBGene00013156	21
WBGene00013157	0
WBGene00013158	3
WBGene00013159	5
WBGene00013160	13
WBGene00013161	3
WBGene00013162	2
WBGene00013163	8
WBGene00013164	3
WBGene00013165	6
WBGene00013166	0
WBGene00013167	9
WBGene00013168	8
WBGene00013169	0
WBGene00013170	0
WBGene00013171	0
WBGene00013172	2
WBGene00013173	0
WBGene00013175	0
WBGene00013176	6
WBGene00013177	7
WBGene00013178	2
WBGene00013179	0
WBGene00013180	8
WBGene00013181	1
WBGene00013182	0
WBGene00013184	1
WBGene00013186	0
WBGene00013187	1
WBGene00013188	1
WBGene00013189	16
WBGene00013190	0
WBGene00013192	2
WBGene00013193	7
WBGene00013194	11
WBGene00013195	1
WBGene00013196	13
WBGene00013197	0
WBGene00013198	7
WBGene00013200	5
WBGene00013201	12
WBGene00013202	29
WBGene00013203	6
WBGene00013204	9
WBGene00013207	0
WBGene00013208	7
WBGene00013209	32
WBGene00013210	8
WBGene00013211	0
WBGene00013212	9
WBGene00013213	5
WBGene00013214	6
WBGene00013215	0
WBGene00013216	1
WBGene00013217	5
WBGene00013218	9
WBGene00013219	4
WBGene00013220	15
WBGene00013221	48
WBGene00013222	3
WBGene00013223	8
WBGene00013224	11
WBGene00013225	11
WBGene00013226	13
WBGene00013227	1
WBGene00013228	15
WBGene00013230	9
WBGene00013231	0
WBGene00013232	7
WBGene00013233	14
WBGene00013234	12
WBGene00013235	7
WBGene00013236	46
WBGene00013237	7
WBGene00013238	9
WBGene00013239	8
WBGene00013240	15
WBGene00013241	2
WBGene00013242	2
WBGene00013243	14
WBGene00013244	44
WBGene00013246	37
WBGene00013247	6
WBGene00013248	24
WBGene00013249	19
WBGene00013250	11
WBGene00013252	15
WBGene00013253	3
WBGene00013254	2
WBGene00013255	4
WBGene00013256	3
WBGene00013257	0
WBGene00013258	4
WBGene00013259	2
WBGene00013260	9
WBGene00013261	3
WBGene00013263	21
WBGene00013264	0
WBGene00013265	2
WBGene00013266	0
WBGene00013267	3
WBGene00013268	3
WBGene00013269	2
WBGene00013270	19
WBGene00013272	0
WBGene00013273	0
WBGene00013274	0
WBGene00013275	0
WBGene00013276	0
WBGene00013277	0
WBGene00013278	2
WBGene00013279	1
WBGene00013280	0
WBGene00013281	0
WBGene00013282	0
WBGene00013284	0
WBGene00013285	0
WBGene00013286	0
WBGene00013287	0
WBGene00013288	2
WBGene00013289	3
WBGene00013290	15
WBGene00013292	0
WBGene00013293	0
WBGene00013294	0
WBGene00013295	0
WBGene00013296	0
WBGene00013297	0
WBGene00013298	1
WBGene00013299	0
WBGene00013300	0
WBGene00013301	18
WBGene00013302	7
WBGene00013303	2
WBGene00013304	1
WBGene00013305	0
WBGene00013306	0
WBGene00013307	12
WBGene00013308	12
WBGene00013310	1
WBGene00013311	39
WBGene00013312	0
WBGene00013315	1
WBGene00013317	1
WBGene00013318	9
WBGene00013319	5
WBGene00013321	18
WBGene00013322	0
WBGene00013323	19
WBGene00013324	2
WBGene00013325	3
WBGene00013326	1
WBGene00013327	1
WBGene00013328	0
WBGene00013329	0
WBGene00013330	0
WBGene00013331	0
WBGene00013332	19
WBGene00013333	0
WBGene00013334	0
WBGene00013335	1
WBGene00013336	1
WBGene00013337	0
WBGene00013338	0
WBGene00013339	9
WBGene00013340	23
WBGene00013343	25
WBGene00013344	13
WBGene00013345	5
WBGene00013347	11
WBGene00013348	6
WBGene00013349	2
WBGene00013350	7
WBGene00013351	0
WBGene00013352	1
WBGene00013353	4
WBGene00013354	10
WBGene00013355	9
WBGene00013356	0
WBGene00013357	0
WBGene00013358	14
WBGene00013359	11
WBGene00013360	13
WBGene00013361	12
WBGene00013362	10
WBGene00013364	1
WBGene00013365	4
WBGene00013366	0
WBGene00013367	0
WBGene00013368	0
WBGene00013370	4
WBGene00013371	1
WBGene00013373	9
WBGene00013374	0
WBGene00013375	2
WBGene00013376	17
WBGene00013378	5
WBGene00013379	6
WBGene00013380	16
WBGene00013381	8
WBGene00013382	3
WBGene00013383	6
WBGene00013385	0
WBGene00013387	0
WBGene00013388	3
WBGene00013389	0
WBGene00013390	0
WBGene00013391	1
WBGene00013392	0
WBGene00013393	2
WBGene00013394	2
WBGene00013395	0
WBGene00013396	0
WBGene00013397	0
WBGene00013398	0
WBGene00013399	0
WBGene00013400	0
WBGene00013401	0
WBGene00013402	0
WBGene00013403	14
WBGene00013404	0
WBGene00013405	11
WBGene00013406	3
WBGene00013407	9
WBGene00013408	2
WBGene00013409	0
WBGene00013411	0
WBGene00013412	1
WBGene00013415	0
WBGene00013416	0
WBGene00013417	0
WBGene00013418	0
WBGene00013419	9
WBGene00013421	0
WBGene00013422	9
WBGene00013424	2
WBGene00013425	7
WBGene00013426	0
WBGene00013427	0
WBGene00013429	2
WBGene00013431	9
WBGene00013432	3
WBGene00013433	3
WBGene00013434	7
WBGene00013435	8
WBGene00013436	13
WBGene00013437	6
WBGene00013438	2
WBGene00013439	0
WBGene00013440	3
WBGene00013441	14
WBGene00013442	2
WBGene00013443	19
WBGene00013445	5
WBGene00013446	8
WBGene00013447	7
WBGene00013448	1
WBGene00013449	2
WBGene00013450	0
WBGene00013451	0
WBGene00013452	3
WBGene00013453	2
WBGene00013454	0
WBGene00013455	0
WBGene00013456	1
WBGene00013457	0
WBGene00013458	0
WBGene00013459	0
WBGene00013460	14
WBGene00013461	19
WBGene00013462	37
WBGene00013463	11
WBGene00013464	47
WBGene00013465	18
WBGene00013466	0
WBGene00013468	0
WBGene00013469	1
WBGene00013470	0
WBGene00013471	0
WBGene00013472	0
WBGene00013473	12
WBGene00013474	18
WBGene00013475	3
WBGene00013476	0
WBGene00013477	1
WBGene00013478	1
WBGene00013479	0
WBGene00013480	1
WBGene00013481	3
WBGene00013482	3
WBGene00013483	0
WBGene00013484	7
WBGene00013485	0
WBGene00013486	0
WBGene00013487	0
WBGene00013489	8
WBGene00013490	0
WBGene00013491	0
WBGene00013492	0
WBGene00013493	0
WBGene00013494	1
WBGene00013496	0
WBGene00013497	0
WBGene00013498	1
WBGene00013499	2
WBGene00013500	13
WBGene00013501	14
WBGene00013502	0
WBGene00013503	0
WBGene00013505	1
WBGene00013506	11
WBGene00013507	22
WBGene00013508	4
WBGene00013509	12
WBGene00013511	2
WBGene00013512	0
WBGene00013513	2
WBGene00013514	0
WBGene00013515	0
WBGene00013516	0
WBGene00013517	0
WBGene00013518	0
WBGene00013519	0
WBGene00013520	0
WBGene00013521	3
WBGene00013522	0
WBGene00013523	4
WBGene00013524	0
WBGene00013525	0
WBGene00013526	4
WBGene00013527	0
WBGene00013528	0
WBGene00013529	2
WBGene00013530	2
WBGene00013531	11
WBGene00013532	7
WBGene00013534	0
WBGene00013536	2
WBGene00013538	20
WBGene00013539	1
WBGene00013540	0
WBGene00013541	0
WBGene00013542	0
WBGene00013543	0
WBGene00013544	34
WBGene00013545	17
WBGene00013547	16
WBGene00013548	0
WBGene00013549	12
WBGene00013550	8
WBGene00013551	5
WBGene00013552	4
WBGene00013553	0
WBGene00013554	23
WBGene00013555	0
WBGene00013556	5
WBGene00013557	14
WBGene00013558	6
WBGene00013559	0
WBGene00013560	4
WBGene00013561	25
WBGene00013562	0
WBGene00013563	3
WBGene00013564	0
WBGene00013565	0
WBGene00013566	0
WBGene00013567	22
WBGene00013568	1
WBGene00013569	8
WBGene00013570	0
WBGene00013572	0
WBGene00013573	0
WBGene00013574	0
WBGene00013575	11
WBGene00013576	3
WBGene00013577	8
WBGene00013578	8
WBGene00013579	0
WBGene00013580	31
WBGene00013581	3
WBGene00013583	2
WBGene00013584	0
WBGene00013585	0
WBGene00013586	7
WBGene00013587	3
WBGene00013588	0
WBGene00013590	9
WBGene00013591	17
WBGene00013592	0
WBGene00013593	7
WBGene00013594	6
WBGene00013595	5
WBGene00013596	21
WBGene00013597	31
WBGene00013598	8
WBGene00013599	14
WBGene00013601	11
WBGene00013602	0
WBGene00013603	26
WBGene00013604	3
WBGene00013605	3
WBGene00013606	38
WBGene00013607	0
WBGene00013608	0
WBGene00013609	0
WBGene00013610	11
WBGene00013611	6
WBGene00013613	2
WBGene00013616	0
WBGene00013619	0
WBGene00013620	5
WBGene00013621	0
WBGene00013622	8
WBGene00013623	4
WBGene00013626	0
WBGene00013628	0
WBGene00013629	0
WBGene00013631	0
WBGene00013632	4
WBGene00013633	0
WBGene00013634	0
WBGene00013635	0
WBGene00013636	0
WBGene00013637	0
WBGene00013639	0
WBGene00013642	0
WBGene00013643	0
WBGene00013645	0
WBGene00013646	1
WBGene00013647	1
WBGene00013649	0
WBGene00013650	2
WBGene00013651	1
WBGene00013653	0
WBGene00013654	0
WBGene00013655	0
WBGene00013656	2
WBGene00013657	1
WBGene00013658	13
WBGene00013659	5
WBGene00013662	1
WBGene00013665	0
WBGene00013666	5
WBGene00013667	13
WBGene00013668	6
WBGene00013669	2
WBGene00013670	14
WBGene00013671	3
WBGene00013672	17
WBGene00013673	7
WBGene00013674	9
WBGene00013676	12
WBGene00013677	3
WBGene00013678	9
WBGene00013679	15
WBGene00013680	12
WBGene00013682	24
WBGene00013683	8
WBGene00013684	1
WBGene00013685	12
WBGene00013687	11
WBGene00013688	10
WBGene00013689	11
WBGene00013690	1
WBGene00013691	0
WBGene00013692	0
WBGene00013693	0
WBGene00013694	7
WBGene00013695	21
WBGene00013696	11
WBGene00013697	19
WBGene00013698	14
WBGene00013699	0
WBGene00013700	2
WBGene00013701	3
WBGene00013702	0
WBGene00013703	14
WBGene00013704	0
WBGene00013705	1
WBGene00013708	5
WBGene00013709	10
WBGene00013710	1
WBGene00013711	1
WBGene00013712	0
WBGene00013713	7
WBGene00013715	0
WBGene00013716	1
WBGene00013717	0
WBGene00013718	13
WBGene00013719	16
WBGene00013720	3
WBGene00013721	0
WBGene00013723	8
WBGene00013724	5
WBGene00013725	2
WBGene00013726	0
WBGene00013727	9
WBGene00013728	5
WBGene00013729	11
WBGene00013730	27
WBGene00013732	9
WBGene00013734	11
WBGene00013735	8
WBGene00013736	9
WBGene00013737	12
WBGene00013738	9
WBGene00013739	14
WBGene00013740	2
WBGene00013741	2
WBGene00013742	19
WBGene00013744	4
WBGene00013746	0
WBGene00013747	2
WBGene00013748	0
WBGene00013749	0
WBGene00013750	1
WBGene00013751	0
WBGene00013752	1
WBGene00013753	0
WBGene00013754	1
WBGene00013755	13
WBGene00013756	3
WBGene00013757	0
WBGene00013758	7
WBGene00013759	3
WBGene00013760	0
WBGene00013761	0
WBGene00013762	0
WBGene00013764	0
WBGene00013765	8
WBGene00013766	9
WBGene00013768	7
WBGene00013771	6
WBGene00013773	0
WBGene00013774	1
WBGene00013775	5
WBGene00013776	5
WBGene00013777	5
WBGene00013778	0
WBGene00013779	7
WBGene00013781	0
WBGene00013782	0
WBGene00013784	0
WBGene00013785	3
WBGene00013786	0
WBGene00013789	10
WBGene00013790	4
WBGene00013791	0
WBGene00013792	4
WBGene00013794	0
WBGene00013795	0
WBGene00013796	0
WBGene00013797	0
WBGene00013798	0
WBGene00013799	16
WBGene00013800	1
WBGene00013801	3
WBGene00013802	4
WBGene00013803	14
WBGene00013804	4
WBGene00013805	5
WBGene00013806	0
WBGene00013807	4
WBGene00013808	12
WBGene00013809	4
WBGene00013810	0
WBGene00013811	3
WBGene00013812	0
WBGene00013814	0
WBGene00013815	0
WBGene00013816	0
WBGene00013817	0
WBGene00013819	0
WBGene00013820	0
WBGene00013822	0
WBGene00013823	2
WBGene00013824	2
WBGene00013825	0
WBGene00013827	1
WBGene00013828	0
WBGene00013829	0
WBGene00013830	9
WBGene00013831	0
WBGene00013832	3
WBGene00013833	0
WBGene00013834	0
WBGene00013835	0
WBGene00013836	0
WBGene00013837	0
WBGene00013838	0
WBGene00013839	0
WBGene00013840	0
WBGene00013844	0
WBGene00013845	29
WBGene00013846	0
WBGene00013847	3
WBGene00013848	1
WBGene00013849	0
WBGene00013850	0
WBGene00013852	0
WBGene00013853	1
WBGene00013854	2
WBGene00013855	4
WBGene00013856	0
WBGene00013857	28
WBGene00013858	9
WBGene00013859	42
WBGene00013860	0
WBGene00013862	13
WBGene00013863	0
WBGene00013865	0
WBGene00013866	3
WBGene00013867	1
WBGene00013868	0
WBGene00013869	0
WBGene00013870	0
WBGene00013871	0
WBGene00013872	1
WBGene00013873	0
WBGene00013874	0
WBGene00013875	0
WBGene00013876	1
WBGene00013877	13
WBGene00013878	9
WBGene00013879	1
WBGene00013880	15
WBGene00013881	14
WBGene00013882	0
WBGene00013883	0
WBGene00013884	0
WBGene00013886	1
WBGene00013887	15
WBGene00013888	14
WBGene00013889	0
WBGene00013890	3
WBGene00013891	0
WBGene00013892	3
WBGene00013893	13
WBGene00013894	36
WBGene00013895	0
WBGene00013896	0
WBGene00013897	0
WBGene00013898	0
WBGene00013899	0
WBGene00013900	0
WBGene00013901	0
WBGene00013902	0
WBGene00013903	1
WBGene00013904	0
WBGene00013905	0
WBGene00013906	0
WBGene00013907	0
WBGene00013908	0
WBGene00013909	0
WBGene00013910	0
WBGene00013911	0
WBGene00013912	0
WBGene00013913	0
WBGene00013914	2
WBGene00013915	0
WBGene00013916	0
WBGene00013917	12
WBGene00013919	2
WBGene00013920	2
WBGene00013921	0
WBGene00013923	1
WBGene00013924	16
WBGene00013925	4
WBGene00013926	19
WBGene00013927	0
WBGene00013928	0
WBGene00013929	0
WBGene00013930	0
WBGene00013931	0
WBGene00013932	0
WBGene00013933	0
WBGene00013934	4
WBGene00013935	0
WBGene00013937	0
WBGene00013938	0
WBGene00013939	1
WBGene00013940	0
WBGene00013941	0
WBGene00013942	0
WBGene00013943	0
WBGene00013944	0
WBGene00013946	0
WBGene00013947	0
WBGene00013949	0
WBGene00013950	0
WBGene00013951	0
WBGene00013953	4
WBGene00013954	0
WBGene00013955	1
WBGene00013956	12
WBGene00013957	0
WBGene00013958	7
WBGene00013959	0
WBGene00013960	1
WBGene00013961	0
WBGene00013962	0
WBGene00013963	1
WBGene00013964	0
WBGene00013965	1
WBGene00013966	2
WBGene00013967	7
WBGene00013968	0
WBGene00013969	18
WBGene00013970	0
WBGene00013971	0
WBGene00013972	0
WBGene00013973	0
WBGene00013974	0
WBGene00013975	0
WBGene00013976	1
WBGene00013978	4
WBGene00013979	3
WBGene00013980	0
WBGene00013982	13
WBGene00013983	4
WBGene00013984	1
WBGene00013985	9
WBGene00013986	1
WBGene00013987	6
WBGene00013988	1
WBGene00013989	0
WBGene00013994	12
WBGene00013996	0
WBGene00013997	16
WBGene00013998	8
WBGene00013999	10
WBGene00014000	1
WBGene00014001	1
WBGene00014002	0
WBGene00014003	0
WBGene00014004	5
WBGene00014006	0
WBGene00014007	2
WBGene00014008	0
WBGene00014009	0
WBGene00014011	15
WBGene00014012	4
WBGene00014013	12
WBGene00014014	13
WBGene00014015	28
WBGene00014016	12
WBGene00014017	3
WBGene00014018	16
WBGene00014019	4
WBGene00014020	5
WBGene00014021	1
WBGene00014022	16
WBGene00014023	15
WBGene00014024	0
WBGene00014025	6
WBGene00014027	4
WBGene00014028	2
WBGene00014029	2
WBGene00014030	1
WBGene00014031	0
WBGene00014032	2
WBGene00014033	2
WBGene00014034	6
WBGene00014035	0
WBGene00014036	7
WBGene00014037	0
WBGene00014038	0
WBGene00014039	0
WBGene00014040	1
WBGene00014041	8
WBGene00014042	1
WBGene00014043	0
WBGene00014044	7
WBGene00014045	0
WBGene00014046	0
WBGene00014047	0
WBGene00014048	2
WBGene00014049	0
WBGene00014050	0
WBGene00014051	0
WBGene00014052	0
WBGene00014053	0
WBGene00014054	12
WBGene00014055	0
WBGene00014057	0
WBGene00014058	12
WBGene00014060	1
WBGene00014061	1
WBGene00014062	0
WBGene00014063	0
WBGene00014064	10
WBGene00014065	0
WBGene00014066	13
WBGene00014067	0
WBGene00014068	0
WBGene00014069	15
WBGene00014070	0
WBGene00014073	0
WBGene00014074	0
WBGene00014075	9
WBGene00014076	3
WBGene00014077	0
WBGene00014078	13
WBGene00014079	0
WBGene00014080	6
WBGene00014081	4
WBGene00014082	4
WBGene00014083	5
WBGene00014084	2
WBGene00014085	2
WBGene00014086	19
WBGene00014087	21
WBGene00014088	0
WBGene00014089	0
WBGene00014090	3
WBGene00014091	0
WBGene00014092	0
WBGene00014093	0
WBGene00014094	1
WBGene00014095	36
WBGene00014096	10
WBGene00014097	11
WBGene00014098	17
WBGene00014099	1
WBGene00014100	1
WBGene00014101	1
WBGene00014102	1
WBGene00014103	3
WBGene00014104	3
WBGene00014105	4
WBGene00014106	1
WBGene00014107	0
WBGene00014108	0
WBGene00014109	10
WBGene00014111	4
WBGene00014112	20
WBGene00014113	13
WBGene00014114	11
WBGene00014115	16
WBGene00014116	2
WBGene00014117	21
WBGene00014118	12
WBGene00014119	10
WBGene00014120	10
WBGene00014121	4
WBGene00014122	0
WBGene00014123	7
WBGene00014124	16
WBGene00014125	0
WBGene00014127	6
WBGene00014128	0
WBGene00014129	3
WBGene00014130	18
WBGene00014131	0
WBGene00014132	0
WBGene00014135	0
WBGene00014136	0
WBGene00014137	0
WBGene00014138	0
WBGene00014139	4
WBGene00014140	0
WBGene00014141	1
WBGene00014142	0
WBGene00014143	0
WBGene00014144	0
WBGene00014145	0
WBGene00014148	15
WBGene00014149	0
WBGene00014150	0
WBGene00014151	28
WBGene00014152	0
WBGene00014153	0
WBGene00014154	1
WBGene00014155	1
WBGene00014156	11
WBGene00014157	1
WBGene00014158	9
WBGene00014159	0
WBGene00014160	0
WBGene00014161	0
WBGene00014162	0
WBGene00014163	6
WBGene00014164	0
WBGene00014165	19
